employee_id,name,department,kpi_score,attendance_percent,last_training_date,attendance_category
E0065,Rowan Gonzalez,Support,73.69,85.6,2025-03-18,Medium
E0066,Rowan Lopez,Sales,78.49,93.5,2025-03-07,High
E0067,Jordan Lopez,Engineering,94.51,97.8,2024-12-30,High
E0068,Parker Miller,Sales,95.77,82.2,2024-09-02,Medium
E0069,Hayden Smith,Sales,75.69,88.5,2024-10-07,Medium
E0070,Cameron Rodriguez,Sales,76.6,88.0,2025-03-28,Medium
E0071,Sawyer Jones,Sales,85.76,93.2,2025-04-17,High
E0072,Riley Rodriguez,Sales,66.54,87.8,2024-11-05,Medium
E0073,Sawyer Moore,Sales,78.33,86.2,2025-06-29,Medium
E0074,Alex Jones,Marketing,74.74,80.0,2025-01-28,Medium
E0075,Logan Johnson,Finance,78.14,87.7,2025-03-12,Medium
E0076,Skyler Garcia,Engineering,66.67,92.5,2025-06-08,High
E0077,Elliot Garcia,Engineering,59.1,96.3,2024-12-31,High
E0078,Jamie Wilson,HR,54.27,89.9,2025-04-18,Medium
E0079,Taylor Lopez,Operations,63.83,83.5,2025-06-07,Medium
E0080,Quinn Thomas,Operations,70.41,91.6,2024-12-18,High
E0081,Sawyer Wilson,Sales,72.07,88.5,2025-06-11,Medium
E0082,Jamie Rodriguez,Engineering,94.37,93.9,2024-12-11,High
E0083,Jamie Taylor,Engineering,86.06,85.8,2025-06-15,Medium
E0084,Cameron Brown,Engineering,65.38,87.0,2025-03-08,Medium
E0085,Cameron Smith,Marketing,78.48,87.5,2024-10-23,Medium
E0086,Taylor Johnson,Engineering,70.93,89.9,2025-05-22,Medium
E0087,Parker Anderson,Sales,72.16,88.6,2024-11-06,Medium
E0088,Reese Martinez,Engineering,76.85,91.4,2024-11-23,High
E0089,Blake Brown,HR,81.19,77.9,2024-09-18,Medium
E0090,Elliot Hernandez,Sales,71.61,87.3,2025-06-13,Medium
E0091,Elliot Brown,Operations,85.64,88.5,2024-11-25,Medium
E0092,Drew Wilson,Sales,63.58,98.0,2024-09-06,High
E0093,Drew Rodriguez,Support,75.06,94.6,2024-11-08,High
E0094,Morgan Davis,Sales,100.0,87.6,2025-06-06,Medium
E0095,Casey Miller,Operations,77.23,97.2,2024-10-17,High
E0096,Reese Gonzalez,Operations,89.33,90.9,2025-07-05,High
E0097,Hayden Davis,Support,75.92,93.6,2025-01-11,High
E0098,Sawyer Johnson,Operations,80.81,95.3,2025-02-13,High
E0099,Cameron Williams,Finance,74.43,97.8,2025-02-01,High
E0100,Cameron Martin,Marketing,73.3,89.7,2025-02-05,Medium
E0101,Avery Jackson,Finance,67.21,97.1,2025-08-02,High
E0102,Drew Wilson,Sales,79.3,82.8,2025-02-09,Medium
E0103,Drew Garcia,HR,66.48,94.6,2024-09-06,High
E0104,Parker Martin,HR,81.66,91.2,2025-03-07,High
E0105,Riley Thomas,Operations,85.85,91.7,2025-05-04,High
E0106,Riley Anderson,Engineering,78.67,85.4,2024-08-15,Medium
E0107,Parker Rodriguez,Engineering,72.14,97.0,2025-07-08,High
E0108,Blake Garcia,Marketing,79.54,94.0,2025-02-17,High
E0109,Jordan Johnson,Engineering,71.91,91.6,2025-02-07,High
E0110,Jamie Jackson,Sales,84.36,88.3,2025-02-20,Medium
E0111,Taylor Martinez,Engineering,56.69,78.0,2024-09-11,Medium
E0112,Blake Jones,Engineering,71.64,95.0,2025-03-13,High
E0113,Blake Miller,Engineering,55.09,80.9,2024-08-23,Medium
E0114,Logan Lopez,Engineering,60.05,96.1,2025-07-20,High
E0115,Quinn Brown,Engineering,88.64,95.2,2024-11-19,High
E0116,Drew Moore,Engineering,83.95,93.4,2025-01-09,High
E0117,Alex Thomas,Engineering,67.81,83.1,2025-05-18,Medium
E0118,Drew Anderson,Finance,59.97,82.0,2025-05-22,Medium
E0119,Reese Rodriguez,Engineering,45.35,90.8,2024-11-24,High
E0120,Cameron Gonzalez,Support,69.57,91.8,2024-12-24,High
E0121,Taylor Lopez,Operations,99.2,75.4,2025-01-02,Medium
E0122,Jordan Gonzalez,Engineering,79.35,90.2,2025-07-26,High
E0123,Hayden Johnson,Engineering,69.4,77.0,2025-01-07,Medium
E0124,Parker Rodriguez,HR,79.65,85.5,2024-08-20,Medium
E0125,Parker Smith,Operations,59.39,90.3,2025-08-07,High
E0126,Morgan Martinez,Marketing,72.03,78.3,2025-02-23,Medium
E0127,Morgan Miller,Operations,75.99,81.8,2025-02-14,Medium
E0128,Reese Williams,HR,74.14,87.3,2024-09-20,Medium
E0129,Reese Williams,Marketing,82.91,84.1,2025-05-02,Medium
E0130,Morgan Lopez,Engineering,78.45,88.6,2025-02-21,Medium
E0131,Parker Brown,Finance,81.68,95.3,2024-11-25,High
E0132,Riley Jackson,Engineering,68.12,93.4,2025-07-22,High
E0133,Sawyer Lopez,Finance,83.98,88.1,2024-10-25,Medium
E0134,Jamie Miller,Operations,91.29,94.0,2024-10-17,High
E0135,Hayden Lopez,Sales,65.3,90.9,2024-11-24,High
E0136,Riley Smith,Marketing,66.12,89.1,2024-12-20,Medium
E0137,Morgan Martin,Sales,88.36,80.7,2024-11-14,Medium
E0138,Jamie Martinez,Finance,73.09,87.1,2024-11-01,Medium
E0139,Drew Thomas,Sales,89.04,89.6,2024-09-18,Medium
E0140,Jordan Johnson,Support,70.57,81.5,2025-03-10,Medium
E0141,Riley Martinez,Sales,89.55,93.5,2025-02-28,High
E0142,Reese Martinez,Support,76.31,87.7,2024-12-24,Medium
E0143,Jamie Jackson,Operations,77.58,86.5,2025-06-04,Medium
E0144,Morgan Lopez,Marketing,90.65,98.1,2024-10-05,High
E0145,Quinn Martinez,Operations,71.38,96.5,2024-11-05,High
E0146,Logan Garcia,Operations,65.59,74.7,2024-12-26,Low
E0147,Sawyer Miller,Support,70.51,97.9,2025-04-25,High
E0148,Quinn Hernandez,Engineering,79.52,95.7,2025-04-09,High
E0149,Logan Rodriguez,Marketing,59.34,87.5,2025-03-08,Medium
E0150,Riley Smith,Sales,81.37,88.8,2024-12-15,Medium
E0151,Avery Taylor,Marketing,69.61,80.4,2024-11-03,Medium
E0152,Alex Moore,Sales,86.48,82.7,2024-12-11,Medium
E0153,Quinn Williams,Marketing,51.06,81.3,2024-09-08,Medium
E0154,Cameron Lopez,Marketing,67.13,92.8,2024-08-28,High
E0155,Cameron Williams,Engineering,58.14,88.2,2024-11-29,Medium
E0156,Reese Wilson,HR,66.74,92.5,2025-03-31,High
E0157,Taylor Garcia,Finance,77.48,93.1,2025-01-07,High
E0158,Casey Wilson,Operations,73.21,95.2,2025-03-11,High
E0159,Blake Anderson,Engineering,72.47,69.7,2024-12-27,Low
E0160,Elliot Thomas,Marketing,73.41,89.4,2024-10-21,Medium
E0161,Cameron Williams,Support,77.03,94.1,2025-04-01,High
E0162,Hayden Jackson,Sales,64.91,96.4,2025-02-10,High
E0163,Sawyer Jones,Sales,82.07,94.1,2025-07-28,High
E0164,Casey Smith,Sales,81.63,82.7,2024-11-18,Medium
E0165,Taylor Lopez,Marketing,78.85,89.0,2025-02-16,Medium
E0166,Quinn Davis,Engineering,80.57,98.0,2025-02-27,High
E0167,Cameron Taylor,Finance,77.96,72.5,2025-01-31,Low
E0168,Drew Taylor,Marketing,95.35,93.8,2025-05-27,High
E0169,Sawyer Miller,Engineering,74.13,92.2,2025-01-07,High
E0170,Casey Martin,Operations,71.93,92.4,2024-11-15,High
E0171,Hayden Garcia,Finance,67.46,84.9,2025-04-08,Medium
E0172,Hayden Hernandez,Engineering,64.68,83.4,2025-06-27,Medium
E0173,Elliot Garcia,Engineering,62.56,90.6,2025-03-25,High
E0174,Sawyer Jackson,Engineering,66.11,94.7,2025-06-02,High
E0175,Morgan Brown,Sales,74.29,72.8,2025-03-30,Low
E0176,Quinn Smith,Sales,78.34,90.5,2024-12-28,High
E0177,Riley Rodriguez,Support,75.51,94.1,2025-07-03,High
E0178,Sawyer Martin,Engineering,67.34,72.8,2024-11-14,Low
E0179,Morgan Moore,Engineering,84.0,93.1,2025-05-24,High
E0180,Jordan Anderson,Finance,82.39,73.6,2024-09-21,Low
E0181,Logan Moore,HR,73.4,68.9,2024-11-19,Low
E0182,Casey Moore,Support,68.47,83.0,2025-05-06,Medium
E0183,Taylor Hernandez,Operations,80.48,80.5,2025-01-20,Medium
E0184,Drew Miller,Engineering,76.88,83.9,2025-07-04,Medium
E0185,Alex Thomas,Engineering,60.52,96.4,2025-07-08,High
E0186,Cameron Wilson,Support,74.32,98.2,2024-08-30,High
E0187,Jamie Davis,Finance,77.62,96.5,2024-10-25,High
E0188,Skyler Johnson,Support,66.0,79.8,2025-06-18,Medium
E0189,Blake Anderson,Sales,76.9,92.6,2025-05-02,High
E0190,Avery Garcia,Operations,60.45,93.6,2025-06-02,High
E0191,Alex Jackson,Marketing,88.36,97.2,2025-03-22,High
E0192,Elliot Jones,Sales,87.48,85.6,2025-04-29,Medium
E0193,Alex Williams,Marketing,72.47,88.0,2025-04-16,Medium
E0194,Jordan Taylor,Finance,78.63,89.2,2025-02-01,Medium
E0195,Skyler Brown,Sales,50.9,87.8,2025-06-05,Medium
E0196,Blake Brown,Engineering,63.44,83.1,2024-09-25,Medium
E0197,Avery Lopez,Operations,72.06,88.1,2024-11-21,Medium
E0198,Blake Moore,Engineering,64.28,79.1,2024-11-09,Medium
E0199,Alex Brown,Engineering,82.14,81.4,2025-06-13,Medium
E0200,Riley Miller,Engineering,94.97,74.2,2024-11-28,Low
